stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_01023A00-PIPILACONSC,Blvd. Pipila - Av. del Conscripto,19.43806,-99.22851,01023A00-PIPILACONSC,2
B_01023A00-LERMAMEDIC,Av. Río Lerma - Especialidades Médicas,19.43737,-99.22957,01023A00-LERMAMEDIC,2
B_01023A00-ESPMEDICAS,Especialidades Médicas,19.43713,-99.22905,01023A00-ESPMEDICAS,2
B_01023A01-LERMAFCOME,Acueducto Río Lerma - Narciso Mendoza,19.43686,-99.22856,01023A01-LERMAFCOME,2
B_01023A01-AGUILAVFTES,Fuente de las Águilas - Av. de las Fuentes,19.42839,-99.22857,01023A01-AGUILAVFTES,2
B_01023A01-TRITONAVFTE,Fuente de Tritones - Av. de las Fuentes,19.42911,-99.22812,01023A01-TRITONAVFTE,2
B_01023A01-TRITONAGUIL,Fuente de Tritones - Fuente de las Águilas,19.42979,-99.22764,01023A01-TRITONAGUIL,2
B_01023A01-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,19.43127,-99.22614,01023A01-IMLTRTECAMA,2
B_01023A00-IMLTRTECAMA,Industria Militar - Puente Tecamachalco,19.43151,-99.22609,01023A00-IMLTRTECAMA,2
B_01023A01-IMLTRMEDICS,Industria Militar - Especialidades Médicas,19.43266,-99.22424,01023A01-IMLTRMEDICS,2
B_01023A00-IMLTRMEDICS,Industria Militar - Especialidades Médicas,19.43307,-99.22407,01023A00-IMLTRMEDICS,2
B_01023A01-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,19.43381,-99.22281,01023A01-IMLTRCESAR,2
B_01023A00-IMLTRCESAR,Industria Militar - Gral. Cesareo Castro,19.43403,-99.22277,01023A00-IMLTRCESAR,2
B_01023A01-IMLTRABRAH,Industria Militar - Gral. Abraham Cepeda,19.43568,-99.22119,01023A01-IMLTRABRAH,2
B_01023A00-IMLTRABRAH,Industria Militar - Gral. Abraham Cepeda,19.43614,-99.22107,01023A00-IMLTRABRAH,2
B_01023A01-IMLTRILDEFO,Industria Militar - Gral. Ildefonso Vazquez (Velatorio),19.43719,-99.21995,01023A01-IMLTRILDEFO,2
B_01023A00-IMLTRILDEFO,Industria Militar - Gral. Ildefonso Vazquez (Velatorio),19.43791,-99.21964,01023A00-IMLTRILDEFO,2
B_01023A01-IMLTRJCABRL,Industria Militar - Gral. Juan Cabral,19.43916,-99.21825,01023A01-IMLTRJCABRL,2
B_01023A00-IMLTRJCABRL,Industria Militar - Gral. Juan Cabral,19.43953,-99.21833,01023A00-IMLTRJCABRL,2
B_01023A01-IMLTRAPERIF,Industria Militar - Anillo Periférico,19.44177,-99.21615,01023A01-IMLTRAPERIF,2
B_01023A00-CLEGARIAPER,Calz. Legaria - Anillo Periférico,19.44262,-99.21529,01023A00-CLEGARIAPER,2
B_01023A01-CLEGARIARDZ,Calz. Legaria - Presa Rodríguez,19.44329,-99.21331,01023A01-CLEGARIARDZ,2
B_01023A00-CLEGARIARDZ,Calz. Legaria - Presa Rodríguez,19.44362,-99.21308,01023A00-CLEGARIARDZ,2
B_01023A01-CLEGARIAPRD,Calz. Legaria - Presa Endo,19.44395,-99.21179,01023A01-CLEGARIAPRD,2
B_01023A00-CLEGARIAPRE,Calz. Legaria - Presa Salinillas Presa Don Martín,19.44516,-99.21016,01023A00-CLEGARIAPRE,2
B_01023A01-CLEGARIAPRE,Calz. Legaria - Presa Angostura,19.44641,-99.20784,01023A01-CLEGARIAPRE,2
B_01023A00-CLEGARIAMON,Calz. Legaria - Glorieta de la Moneda,19.44708,-99.20736,01023A00-CLEGARIAMON,2
B_01023A01-CLEGARIARIO,Calz. Legaria - Río San Joaquín,19.44771,-99.20605,01023A01-CLEGARIARIO,2
B_01023A00-CLEGARIARIO,Calz. Legaria - Río San Joaquín,19.44841,-99.20568,01023A00-CLEGARIARIO,2
B_01023A01-CLEGARIAGIN,Calz. Legaria - Ginebra,19.44866,-99.20476,01023A01-CLEGARIAGIN,2
B_01023A00-GTAPANTEONF,Glorieta del Panteón Frances,19.44981,-99.20409,01023A00-GTAPANTEONF,2
B_01023A01-CLEGARIAC2,Calz. Legaria - Calle 2,19.45035,-99.20281,01023A01-CLEGARIAC2,2
B_01023A00-CLEGARIASTA,Calz. Legaria - Glorieta Santa Cruz Cacalco,19.45108,-99.20231,01023A00-CLEGARIASTA,2
B_01023A01-CLEGARIATIT,Calz. Legaria - Lago Atitlan,19.45162,-99.201,01023A01-CLEGARIATIT,2
B_01023A00-CLEGARIATIT,Calz. Legaria - Lago Atitlan,19.4521,-99.20089,01023A00-CLEGARIATIT,2
B_01023A01-CLEGARIAGTA,Calz. Legaria - Glorieta Ignacio Allende,19.45282,-99.19923,01023A01-CLEGARIAGTA,2
B_01023A00-CLEGARIAGTA,Calz. Legaria - Glorieta Ignacio Allende,19.45362,-99.19862,01023A00-CLEGARIAGTA,2
B_01023A01-CLEGARIAFPE,Calz. Legaria - Felipe Carrillo Puerto,19.45433,-99.19697,01023A01-CLEGARIAFPE,2
B_01023A00-CLEGARIAFPE,Calz. Legaria - Felipe Carrillo Puerto,19.45488,-99.19677,01023A00-CLEGARIAFPE,2
B_01023A00-CLEGARIAIZA,Calz. Legaria - Lago Izabal,19.45588,-99.19513,01023A00-CLEGARIAIZA,2
B_01023A00-CLEGARIASUP,Calz. Legaria - Lago Superior,19.45767,-99.19254,01023A00-CLEGARIASUP,2
B_01023A00-CETRAMTACU,CETRAM Tacuba,19.45846,-99.18906,01023A00-CETRAMTACU,2
B_0300L7-GTACUI01,Glorieta Cuitláhuac,19.44742,-99.13578,0300L7-GTACUI01,1
B_0300L5-GANADEROS1,Ganaderos,19.35014,-99.11081,0300L5-GANADEROS1,1
B_0300L5-GANADEROS,Ganaderos,19.35014,-99.11095,0300L5-GANADEROS,1
B_0300L5-CHURUOTE1,Churubusco Oriente,19.37156,-99.10775,0300L5-CHURUOTE1,1
B_0300L5-CHURUOTE,Churubusco Oriente,19.37163,-99.10799,0300L5-CHURUOTE,1
B_0300L5-ACULCO1,Aculco,19.37491,-99.10789,0300L5-ACULCO1,1
B_0300L5-ACULCO,Aculco,19.37485,-99.10807,0300L5-ACULCO,1
B_0300L5-APATLACO1,Apatlaco,19.37808,-99.109,0300L5-APATLACO1,1
B_0300L5-APATLACO,Apatlaco,19.37805,-99.10915,0300L5-APATLACO,1
B_0300L5-CANALAPATLAC1,Canal de Apatlaco,19.38283,-99.11082,0300L5-CANALAPATLAC1,1
B_0300L5-CANALAPATLACO,Canal de Apatlaco,19.38281,-99.11095,0300L5-CANALAPATLACO,1
B_0300L5-COLBACH31,Colegio de Bachilleres 3,19.38632,-99.11163,0300L5-COLBACH31,1
B_0300L5-COLBACH3,Colegio de Bachilleres 3,19.38632,-99.11173,0300L5-COLBACH3,1
B_0300L5-RECREO1,Recreo,19.39379,-99.11357,0300L5-RECREO1,1
B_0300L5-RECREO,Recreo,19.39389,-99.11368,0300L5-RECREO,1
B_0300L5-MOCTEZUMA1,Moctezuma,19.42631,-99.11136,0300L5-MOCTEZUMA1,1
B_0300L5-MOCTEZUMA,Moctezuma,19.42606,-99.11144,0300L5-MOCTEZUMA,1
B_0300L5-SANLAZARO1,San Lázaro Sur,19.4304,-99.11533,0300L5-SANLAZARO1,1
B_0300L5-RIOCONSULADO1,Río Consulado,19.45359,-99.10834,0300L5-RIOCONSULADO1,1
B_0300L5-RIOCONSULADO,Río Consulado,19.45369,-99.10854,0300L5-RIOCONSULADO,1
B_0300L5-RIOSTACOLETA1,Río Santa Coleta,19.45599,-99.10741,0300L5-RIOSTACOLETA1,1
B_0300L5-RIOSTACOLETA,Río Santa Coleta,19.45608,-99.10756,0300L5-RIOSTACOLETA,1
B_0300L5-OTE1011,Oriente 101,19.46083,-99.10542,0300L5-OTE1011,1
B_0300L5-OTE101,Oriente 101,19.4609,-99.10568,0300L5-OTE101,1
B_0300L5-VICTORIA1,Victoria,19.4673,-99.10263,0300L5-VICTORIA1,1
B_0300L5-VICTORIA,Victoria,19.46742,-99.10291,0300L5-VICTORIA,1
B_0300L5-TALISMAN1,Talisman,19.471,-99.1011,0300L5-TALISMAN1,1
B_0300L5-TALISMAN,Talisman,19.47108,-99.10141,0300L5-TALISMAN,1
B_0300L5-RIOGPE1,Río de Guadalupe,19.47594,-99.09895,0300L5-RIOGPE1,1
B_0300L5-RIOGPE,Río de Guadalupe,19.47607,-99.0993,0300L5-RIOGPE,1
B_0300L5-SANJUANARAGO1,San Juan de Aragón,19.47984,-99.09731,0300L5-SANJUANARAGO1,1
B_0300L5-SANJUANARAGO,San Juan de Aragón,19.47996,-99.09772,0300L5-SANJUANARAGO,1
B_0300L5-PREPA31,Preparatoria 3,19.4833,-99.09583,0300L5-PREPA31,1
B_0300L5-PREPA3,Preparatoria 3,19.4836,-99.09618,0300L5-PREPA3,1
B_0300L5-COYOL1,El Coyol,19.48746,-99.09401,0300L5-COYOL1,1
B_0300L5-COYOL,El Coyol,19.48746,-99.09447,0300L5-COYOL,1
B_0300L5-VASCOQUIRO1,Vasco de Quiroga,19.4932,-99.09159,0300L5-VASCOQUIRO1,1
B_0300L5-VASCOQUIRO,Vasco de Quiroga,19.49335,-99.09202,0300L5-VASCOQUIRO,1
B_0300L5-5MAYO1,5 de Mayo,19.49699,-99.08996,0300L5-5MAYO1,1
B_0300L5-5MAYO,5 de Mayo,19.49716,-99.09044,0300L5-5MAYO,1
B_0300L5-NEWSDIVINE1,314 Memorial New's Divine,19.50053,-99.08847,0300L5-NEWSDIVINE1,1
B_0300L5-NEWSDIVINE,314 Memorial New's Divine,19.50088,-99.08891,0300L5-NEWSDIVINE,1
B_0300L3-STACRUZATOYAC,Pueblo Sta. Cruz Atoyac,19.37159,-99.16098,0300L3-STACRUZATOYAC,1
B_0400L8-CDAMSTAMPA,Cerrada Manuel Stampa,19.4991,-99.14681,0400L8-CDAMSTAMPA,1
B_0400L8-ENCBIOLOGICA,Escuela Nacional de Ciencias Biológicas,19.4984,-99.14595,0400L8-ENCBIOLOGICA,1
B_05116A1-CENTENARI,Centenario,19.34615,-99.21123,05116A1-CENTENARI,0
B_010C1150-EJ1NREFORMA,Eje 1 Norte Rayón - Av. Paseo de la Reforma,19.44385,-99.13943,010C1150-EJ1NREFORMA,2
B_010C1150-RFMEJCTRALC,Ricardo Flores Magón - Eje Central Lázaro Cardenas,19.44989,-99.13857,010C1150-RFMEJCTRALC,2
B_010C1150-RFMLERDO,Ricardo Flores Magón - Lerdo,19.45115,-99.14151,010C1150-RFMLERDO,2
B_010C1150-RFMISSSTE,Ricardo Flores Magón - Tienda ISSSTE,19.45148,-99.14274,010C1150-RFMISSSTE,2
B_010C1150-RFMZARCO,Ricardo Flores Magón - Zarco,19.45179,-99.14377,010C1150-RFMZARCO,2
B_010C1150-RFMGUERRERO,Ricardo Flores Magón - Guerrero,19.45247,-99.14593,010C1150-RFMGUERRERO,2
B_010C1150-RFMZARAGOZA,Ricardo Flores Magón  - Zaragoza,19.45283,-99.14726,010C1150-RFMZARAGOZA,2
B_010C1150-RFMSABINO,Ricardo Flores Magón - Sabino,19.45499,-99.15895,010C1150-RFMSABINO,2
B_010C1150-RFMLAUREL,Ricardo Flores Magón - Laurel,19.45506,-99.1595,010C1150-RFMLAUREL,2
B_010C1150-RFMFRESNO,Ricardo Flores Magón - Fresno,19.45518,-99.16008,010C1150-RFMFRESNO,2
B_010C1150-RFMCEDRO,Ricardo Flores Magón - Cedro,19.45533,-99.16122,010C1150-RFMCEDRO,2
B_010C1150-RFMNOGAL,Ricardo Flores Magón - Nogal,19.45562,-99.16306,010C1150-RFMNOGAL,2
B_010C1150-MAESGALLOS,Av. de los Maestros - Calz. de los Gallos,19.45599,-99.16597,010C1150-MAESGALLOS,2
B_010C1151-GAONAMILITAR,Rodolfo Gaona - Av. Ingenieros Militares,19.44967,-99.21658,010C1151-GAONAMILITAR,2
